year,make,number
2005,Yamaha,3063
2005,Honda,5405
2005,Sym,589
2005,B.M.W.,34
2005,K.T.M.,28
2005,Piaggio,1027
2005,Suzuki,639
2005,Kawasaki,295
2005,Kymco,116
2005,Ducati,35
2005,Adiva,0
2005,Aprilia,150
2005,Bajaj,130
2005,Harley Davidson,109
2005,Triumph,0
2005,Daelim,219
2005,P.G.O.,35
2005,Mle,0
2005,Peugeot,0
2005,Royal Enfield,0
2005,Moto Guzzi,0
2005,Keeway,0
2005,Can-Am,0
2005,M.V. Agusta,0
2005,Zongshen,129
2005,Lambretta,0
2005,Indian,0
2005,Megelli,0
2005,Sacin,0
2005,Norton,0
2005,Rieju,0
2005,Bimota,0
2005,Vincent,0
2005,B.S.A.,0
2005,Rato,0
2005,Vespa,0
2005,Victory,0
2005,Yyrus,0
2005,Benelli,7
2005,Cagiva,0
2005,Cemoto,0
2005,Chunlan,0
2005,Cpi,0
2005,Emax,0
2005,Gas Gas,0
2005,Hartford,0
2005,Derbi,0
2005,Italjet,0
2005,Husqvarna,0
2005,Hyosung,91
2005,Lml,99
2005,Modenas,0
2005,TGB,0
2005,Tiger,0
2005,Regal-Raptor,0
2005,Sachs,0
2005,Sang Yang,0
2005,Sanyang,0
2005,TVS,0
2005,Zipstar,23
2005,Others,19
2006,Yamaha,4547
2006,Honda,3318
2006,Sym,310
2006,B.M.W.,44
2006,K.T.M.,35
2006,Piaggio,994
2006,Suzuki,810
2006,Kawasaki,150
2006,Kymco,97
2006,Ducati,49
2006,Adiva,0
2006,Aprilia,128
2006,Bajaj,563
2006,Harley Davidson,143
2006,Triumph,20
2006,Daelim,162
2006,P.G.O.,37
2006,Mle,0
2006,Peugeot,0
2006,Royal Enfield,16
2006,Moto Guzzi,0
2006,Keeway,0
2006,Can-Am,0
2006,M.V. Agusta,13
2006,Zongshen,6
2006,Lambretta,0
2006,Indian,0
2006,Megelli,0
2006,Sacin,0
2006,Norton,0
2006,Rieju,0
2006,Bimota,0
2006,Vincent,0
2006,B.S.A.,0
2006,Rato,0
2006,Vespa,0
2006,Victory,0
2006,Yyrus,0
2006,Benelli,0
2006,Cagiva,5
2006,Cemoto,0
2006,Chunlan,0
2006,Cpi,0
2006,Emax,0
2006,Gas Gas,0
2006,Hartford,0
2006,Derbi,0
2006,Italjet,0
2006,Husqvarna,17
2006,Hyosung,38
2006,Lml,21
2006,Modenas,0
2006,TGB,0
2006,Tiger,0
2006,Regal-Raptor,0
2006,Sachs,0
2006,Sang Yang,0
2006,Sanyang,0
2006,TVS,0
2006,Zipstar,0
2006,Others,5
2007,Yamaha,4102
2007,Honda,3176
2007,Sym,183
2007,B.M.W.,47
2007,K.T.M.,45
2007,Piaggio,863
2007,Suzuki,912
2007,Kawasaki,118
2007,Kymco,68
2007,Ducati,99
2007,Adiva,0
2007,Aprilia,82
2007,Bajaj,359
2007,Harley Davidson,158
2007,Triumph,22
2007,Daelim,105
2007,P.G.O.,38
2007,Mle,0
2007,Peugeot,0
2007,Royal Enfield,9
2007,Moto Guzzi,8
2007,Keeway,0
2007,Can-Am,0
2007,M.V. Agusta,7
2007,Zongshen,0
2007,Lambretta,0
2007,Indian,0
2007,Megelli,0
2007,Sacin,0
2007,Norton,0
2007,Rieju,0
2007,Bimota,0
2007,Vincent,0
2007,B.S.A.,0
2007,Rato,0
2007,Vespa,17
2007,Victory,0
2007,Yyrus,0
2007,Benelli,5
2007,Cagiva,0
2007,Cemoto,0
2007,Chunlan,0
2007,Cpi,0
2007,Emax,0
2007,Gas Gas,0
2007,Hartford,0
2007,Derbi,0
2007,Italjet,0
2007,Husqvarna,10
2007,Hyosung,0
2007,Lml,0
2007,Modenas,0
2007,TGB,0
2007,Tiger,0
2007,Regal-Raptor,0
2007,Sachs,0
2007,Sang Yang,0
2007,Sanyang,0
2007,TVS,0
2007,Zipstar,0
2007,Others,8
2008,Yamaha,4066
2008,Honda,2776
2008,Sym,262
2008,B.M.W.,67
2008,K.T.M.,60
2008,Piaggio,719
2008,Suzuki,961
2008,Kawasaki,112
2008,Kymco,131
2008,Ducati,101
2008,Adiva,7
2008,Aprilia,74
2008,Bajaj,491
2008,Harley Davidson,135
2008,Triumph,37
2008,Daelim,152
2008,P.G.O.,38
2008,Mle,0
2008,Peugeot,0
2008,Royal Enfield,13
2008,Moto Guzzi,5
2008,Keeway,0
2008,Can-Am,0
2008,M.V. Agusta,0
2008,Zongshen,0
2008,Lambretta,0
2008,Indian,0
2008,Megelli,0
2008,Sacin,0
2008,Norton,0
2008,Rieju,0
2008,Bimota,0
2008,Vincent,0
2008,B.S.A.,0
2008,Rato,0
2008,Vespa,28
2008,Victory,0
2008,Yyrus,0
2008,Benelli,0
2008,Cagiva,0
2008,Cemoto,0
2008,Chunlan,0
2008,Cpi,11
2008,Emax,0
2008,Gas Gas,0
2008,Hartford,0
2008,Derbi,6
2008,Italjet,0
2008,Husqvarna,25
2008,Hyosung,0
2008,Lml,0
2008,Modenas,0
2008,TGB,0
2008,Tiger,0
2008,Regal-Raptor,0
2008,Sachs,130
2008,Sang Yang,0
2008,Sanyang,0
2008,TVS,0
2008,Zipstar,0
2008,Others,1
2009,Yamaha,3953
2009,Honda,2065
2009,Sym,347
2009,B.M.W.,59
2009,K.T.M.,60
2009,Piaggio,644
2009,Suzuki,541
2009,Kawasaki,65
2009,Kymco,98
2009,Ducati,88
2009,Adiva,17
2009,Aprilia,101
2009,Bajaj,374
2009,Harley Davidson,115
2009,Triumph,46
2009,Daelim,172
2009,P.G.O.,32
2009,Mle,0
2009,Peugeot,0
2009,Royal Enfield,11
2009,Moto Guzzi,6
2009,Keeway,0
2009,Can-Am,5
2009,M.V. Agusta,6
2009,Zongshen,0
2009,Lambretta,0
2009,Indian,0
2009,Megelli,0
2009,Sacin,0
2009,Norton,0
2009,Rieju,0
2009,Bimota,0
2009,Vincent,0
2009,B.S.A.,0
2009,Rato,0
2009,Vespa,31
2009,Victory,0
2009,Yyrus,0
2009,Benelli,0
2009,Cagiva,0
2009,Cemoto,0
2009,Chunlan,0
2009,Cpi,15
2009,Emax,0
2009,Gas Gas,0
2009,Hartford,0
2009,Derbi,33
2009,Italjet,0
2009,Husqvarna,34
2009,Hyosung,0
2009,Lml,0
2009,Modenas,0
2009,TGB,0
2009,Tiger,0
2009,Regal-Raptor,0
2009,Sachs,29
2009,Sang Yang,0
2009,Sanyang,0
2009,TVS,0
2009,Zipstar,0
2009,Others,11
2010,Yamaha,3834
2010,Honda,1494
2010,Sym,414
2010,B.M.W.,100
2010,K.T.M.,63
2010,Piaggio,686
2010,Suzuki,356
2010,Kawasaki,81
2010,Kymco,90
2010,Ducati,144
2010,Adiva,13
2010,Aprilia,142
2010,Bajaj,224
2010,Harley Davidson,152
2010,Triumph,45
2010,Daelim,154
2010,P.G.O.,23
2010,Mle,0
2010,Peugeot,0
2010,Royal Enfield,5
2010,Moto Guzzi,0
2010,Keeway,0
2010,Can-Am,11
2010,M.V. Agusta,22
2010,Zongshen,67
2010,Lambretta,0
2010,Indian,0
2010,Megelli,0
2010,Sacin,0
2010,Norton,0
2010,Rieju,27
2010,Bimota,0
2010,Vincent,0
2010,B.S.A.,0
2010,Rato,0
2010,Vespa,20
2010,Victory,0
2010,Yyrus,0
2010,Benelli,0
2010,Cagiva,0
2010,Cemoto,0
2010,Chunlan,0
2010,Cpi,0
2010,Emax,0
2010,Gas Gas,0
2010,Hartford,0
2010,Derbi,26
2010,Italjet,0
2010,Husqvarna,17
2010,Hyosung,0
2010,Lml,0
2010,Modenas,0
2010,TGB,0
2010,Tiger,0
2010,Regal-Raptor,0
2010,Sachs,16
2010,Sang Yang,0
2010,Sanyang,0
2010,TVS,75
2010,Zipstar,0
2010,Others,15
2011,Yamaha,3462
2011,Honda,1369
2011,Sym,590
2011,B.M.W.,148
2011,K.T.M.,132
2011,Piaggio,543
2011,Suzuki,358
2011,Kawasaki,128
2011,Kymco,78
2011,Ducati,175
2011,Adiva,22
2011,Aprilia,178
2011,Bajaj,108
2011,Harley Davidson,189
2011,Triumph,69
2011,Daelim,154
2011,P.G.O.,49
2011,Mle,0
2011,Peugeot,0
2011,Royal Enfield,5
2011,Moto Guzzi,6
2011,Keeway,19
2011,Can-Am,8
2011,M.V. Agusta,9
2011,Zongshen,54
2011,Lambretta,0
2011,Indian,0
2011,Megelli,45
2011,Sacin,0
2011,Norton,0
2011,Rieju,58
2011,Bimota,0
2011,Vincent,0
2011,B.S.A.,0
2011,Rato,0
2011,Vespa,0
2011,Victory,0
2011,Yyrus,0
2011,Benelli,0
2011,Cagiva,0
2011,Cemoto,0
2011,Chunlan,0
2011,Cpi,45
2011,Emax,0
2011,Gas Gas,0
2011,Hartford,0
2011,Derbi,11
2011,Italjet,0
2011,Husqvarna,24
2011,Hyosung,0
2011,Lml,0
2011,Modenas,17
2011,TGB,0
2011,Tiger,0
2011,Regal-Raptor,7
2011,Sachs,0
2011,Sang Yang,0
2011,Sanyang,0
2011,TVS,19
2011,Zipstar,0
2011,Others,13
2012,Yamaha,4404
2012,Honda,1767
2012,Sym,876
2012,B.M.W.,230
2012,K.T.M.,242
2012,Piaggio,568
2012,Suzuki,200
2012,Kawasaki,197
2012,Kymco,114
2012,Ducati,191
2012,Adiva,8
2012,Aprilia,212
2012,Bajaj,120
2012,Harley Davidson,203
2012,Triumph,104
2012,Daelim,140
2012,P.G.O.,76
2012,Mle,0
2012,Peugeot,13
2012,Royal Enfield,24
2012,Moto Guzzi,0
2012,Keeway,30
2012,Can-Am,0
2012,M.V. Agusta,15
2012,Zongshen,32
2012,Lambretta,0
2012,Indian,0
2012,Megelli,45
2012,Sacin,25
2012,Norton,0
2012,Rieju,36
2012,Bimota,0
2012,Vincent,0
2012,B.S.A.,0
2012,Rato,0
2012,Vespa,14
2012,Victory,0
2012,Yyrus,0
2012,Benelli,0
2012,Cagiva,0
2012,Cemoto,0
2012,Chunlan,0
2012,Cpi,6
2012,Emax,0
2012,Gas Gas,0
2012,Hartford,0
2012,Derbi,0
2012,Italjet,0
2012,Husqvarna,5
2012,Hyosung,0
2012,Lml,0
2012,Modenas,14
2012,TGB,0
2012,Tiger,0
2012,Regal-Raptor,11
2012,Sachs,0
2012,Sang Yang,0
2012,Sanyang,0
2012,TVS,7
2012,Zipstar,0
2012,Others,14
2013,Yamaha,5334
2013,Honda,2046
2013,Sym,881
2013,B.M.W.,360
2013,K.T.M.,310
2013,Piaggio,542
2013,Suzuki,163
2013,Kawasaki,271
2013,Kymco,190
2013,Ducati,159
2013,Adiva,34
2013,Aprilia,196
2013,Bajaj,422
2013,Harley Davidson,170
2013,Triumph,121
2013,Daelim,102
2013,P.G.O.,61
2013,Mle,89
2013,Peugeot,16
2013,Royal Enfield,29
2013,Moto Guzzi,10
2013,Keeway,72
2013,Can-Am,10
2013,M.V. Agusta,11
2013,Zongshen,8
2013,Lambretta,0
2013,Indian,0
2013,Megelli,8
2013,Sacin,21
2013,Norton,0
2013,Rieju,16
2013,Bimota,0
2013,Vincent,0
2013,B.S.A.,0
2013,Rato,0
2013,Vespa,6
2013,Victory,0
2013,Yyrus,0
2013,Benelli,0
2013,Cagiva,0
2013,Cemoto,0
2013,Chunlan,0
2013,Cpi,0
2013,Emax,0
2013,Gas Gas,0
2013,Hartford,0
2013,Derbi,0
2013,Italjet,0
2013,Husqvarna,0
2013,Hyosung,0
2013,Lml,0
2013,Modenas,0
2013,TGB,0
2013,Tiger,0
2013,Regal-Raptor,0
2013,Sachs,0
2013,Sang Yang,0
2013,Sanyang,0
2013,TVS,0
2013,Zipstar,0
2013,Others,13
2014,Yamaha,2764
2014,Honda,1932
2014,Sym,472
2014,B.M.W.,466
2014,K.T.M.,405
2014,Piaggio,368
2014,Suzuki,279
2014,Kawasaki,278
2014,Kymco,238
2014,Ducati,177
2014,Adiva,125
2014,Aprilia,123
2014,Bajaj,119
2014,Harley Davidson,116
2014,Triumph,87
2014,Daelim,51
2014,P.G.O.,44
2014,Mle,38
2014,Peugeot,26
2014,Royal Enfield,13
2014,Moto Guzzi,11
2014,Keeway,10
2014,Can-Am,5
2014,M.V. Agusta,5
2014,Zongshen,5
2014,Lambretta,4
2014,Indian,2
2014,Megelli,2
2014,Sacin,2
2014,Norton,1
2014,Rieju,1
2014,Bimota,0
2014,Vincent,0
2014,B.S.A.,0
2014,Rato,0
2014,Vespa,1
2014,Victory,1
2014,Yyrus,1
2014,Benelli,0
2014,Cagiva,0
2014,Cemoto,0
2014,Chunlan,0
2014,Cpi,0
2014,Emax,0
2014,Gas Gas,0
2014,Hartford,0
2014,Derbi,0
2014,Italjet,0
2014,Husqvarna,0
2014,Hyosung,0
2014,Lml,0
2014,Modenas,0
2014,TGB,0
2014,Tiger,0
2014,Regal-Raptor,0
2014,Sachs,0
2014,Sang Yang,0
2014,Sanyang,0
2014,TVS,0
2014,Zipstar,0
2014,Others,0
2015,A-Bike,6
2015,Adiva,173
2015,Aprilia,87
2015,B.M.W.,385
2015,Bajaj,60
2015,Benelli,0
2015,Cagiva,0
2015,Can-Am,4
2015,Cpi,0
2015,Daelim,50
2015,Derbi,0
2015,Ducati,109
2015,Harley Davidson,141
2015,Honda,1960
2015,Husqvarna,6
2015,Hyosung,3
2015,Indian,16
2015,Jianshe,3
2015,K.T.M.,381
2015,Kawasaki,230
2015,Keeway,5
2015,Kymco,223
2015,Lambretta,1
2015,Lml,0
2015,M.V. Agusta,31
2015,Megelli,0
2015,Mle,0
2015,Modenas,0
2015,Moto Guzzi,8
2015,Norton,0
2015,P.G.O.,69
2015,Peugeot,0
2015,Piaggio,336
2015,Qingqi,2
2015,Regal-Raptor,0
2015,Rieju,4
2015,Royal Enfield,4
2015,Sachs,0
2015,Sacin,0
2015,Suzuki,440
2015,Sym,258
2015,TGB,1
2015,Triumph,88
2015,TVS,0
2015,Velocette,1
2015,Vespa,1
2015,Victory,7
2015,Yamaha,2353
2015,Yyrus,0
2015,Zipstar,0
2015,Zongshen,18
2015,Others,0
2016,A-Bike,0
2016,Adiva,182
2016,Aprilia,71
2016,B.M.W.,392
2016,Bajaj,140
2016,Benelli,0
2016,Cagiva,0
2016,Can-Am,1
2016,Cpi,0
2016,Daelim,26
2016,Derbi,0
2016,Ducati,106
2016,Harley Davidson,112
2016,Honda,2324
2016,Husqvarna,10
2016,Hyosung,0
2016,Indian,6
2016,Jianshe,17
2016,K.T.M.,329
2016,Kawasaki,96
2016,Keeway,7
2016,Kymco,195
2016,Lambretta,2
2016,Lml,0
2016,M.V. Agusta,32
2016,Megelli,0
2016,Mle,0
2016,Modenas,0
2016,Moto Guzzi,20
2016,Norton,0
2016,P.G.O.,47
2016,Peugeot,0
2016,Piaggio,313
2016,Qingqi,3
2016,Regal-Raptor,0
2016,Rieju,7
2016,Royal Enfield,4
2016,Sachs,0
2016,Sacin,0
2016,SCOMADI,103
2016,Suzuki,443
2016,Sym,209
2016,TGB,16
2016,Triumph,75
2016,TVS,0
2016,Velocette,0
2016,Vespa,0
2016,Victory,5
2016,Yamaha,3037
2016,Yyrus,0
2016,Zongshen,25
2016,Others,0
2017,A-Bike,0
2017,Adiva,194
2017,Aprilia,51
2017,B.M.W.,236
2017,Bajaj,114
2017,Benelli,1
2017,Can-Am,0
2017,CFMOTO,1
2017,Cpi,0
2017,Daelim,12
2017,Derbi,0
2017,Ducati,54
2017,Harley Davidson,131
2017,Honda,3125
2017,Husqvarna,13
2017,Hyosung,1
2017,Indian,8
2017,Jianshe,3
2017,K.T.M.,312
2017,Kawasaki,116
2017,Keeway,4
2017,Kymco,157
2017,Lambretta,3
2017,LAVERDA,1
2017,LEXMOTO,47
2017,M.V. Agusta,40
2017,Megelli,0
2017,Mle,0
2017,Modenas,0
2017,Moto Guzzi,11
2017,Norton,6
2017,P.G.O.,31
2017,Peugeot,0
2017,Piaggio,322
2017,Qingqi,3
2017,Regal-Raptor,0
2017,Rieju,2
2017,Royal Enfield,13
2017,Sachs,0
2017,Sacin,0
2017,SCOMADI,34
2017,Suzuki,387
2017,Sym,278
2017,TGB,18
2017,Triumph,146
2017,TVS,0
2017,Velocette,0
2017,Vespa,1
2017,Victory,6
2017,Yamaha,3764
2017,Yyrus,0
2017,Zongshen,15
2017,Others,0
